"geno_ID","year","location","pltht","yld_bu_ac","earht"
"B73_NC230-059-1-1-1-1/LH185",2014,"Columbia",215.5,155.347249699998,104.000000000001
"B73_NC230-129-1-1-1-1/LH185",2014,"Columbia",210,163.694237627881,94.8061208544766
"B73/Mo17",2014,"Columbia",226.5,149.853424899998,120.500000000001
"B73/PHG35",2014,"Columbia",224,158.418329383648,125.418362563428
"B73/PHN82",2014,"Columbia",232.5,144.973564899998,120.500000000001
"B73/TX205",2014,"Columbia",233,178.276023183648,134.418362563428
"CG102/CG60",2014,"Columbia",182.5,99.0286417499982,76.0000000000009
"CG102/LH82",2014,"Columbia",177.5,147.036930449998,79.5000000000009
"CG108/CG102",2014,"Columbia",197.5,141.310714249998,99.5000000000009
"CG108/CG110",2014,"Columbia",188,120.350311549998,96.0000000000009
"CG108/CG111",2014,"Columbia",191.5,107.472213784998,83.0000000000009
"CG108/CGR01",2014,"Columbia",204,117.014027349998,94.0000000000009
"CG108/CGR03",2014,"Columbia",211,147.875119149998,117.000000000001
"CG108/LH162",2014,"Columbia",182,75.6951912263484,79.5816374365738
"CG108/LH82",2014,"Columbia",175.5,178.660898049998,83.5000000000009
"CG110/LH82",2014,"Columbia",173.5,142.026028699998,76.5000000000009
"CG118/CG44",2014,"Columbia",191.5,111.345390024998,73.5000000000009
"CG118/CGR01",2014,"Columbia",200,104.341426774998,98.0000000000009
"CG118/CGR03",2014,"Columbia",202.5,132.750856149998,110.000000000001
"CG119/CG108",2014,"Columbia",186,109.809124434998,95.5000000000009
"CG119/CG44",2014,"Columbia",174,122.799131149998,67.0000000000009
"CG119/LH82",2014,"Columbia",167.5,147.346123899998,84.5000000000009
"CG44/CG110",2014,"Columbia",187,114.706560462498,99.2500000000009
"CG44/CGR01",2014,"Columbia",197,129.064382799998,98.5000000000009
"CG44/LH162",2014,"Columbia",166,89.9114953999982,83.0000000000009
"CG60/CG110",2014,"Columbia",169,107.550008544998,80.5000000000009
"CG60/CG111",2014,"Columbia",195.5,111.223869599998,88.5000000000009
"CG65/CG108",2014,"Columbia",201,129.330053599998,96.0000000000009
"CG65/LH82",2014,"Columbia",180,145.451569299998,74.5000000000009
"CGR03/LH82",2014,"Columbia",178,135.181219749998,96.7500000000009
"F42/C103",2014,"Columbia",259.5,156.286472249998,125.000000000001
"F42/H95",2014,"Columbia",238,151.191007099998,117.000000000001
"F42/Mo17",2014,"Columbia",231,168.719732149998,127.500000000001
"F42/OH43",2014,"Columbia",240,153.547366399998,128.000000000001
"LH132/LH51",2014,"Columbia",221,171.388932483648,123.418362563428
"LH162/CG60",2014,"Columbia",159,83.8744687263484,68.5816374365738
